signal_name,type,fanin,fanin_verb,Fanout,fanout_verb,loop,length,hier_level,size,tag
mem_reg[2],3,8,45,1,1,1,8,0,76,0
mem_reg[1],3,8,41,1,1,1,8,0,76,0
mem_reg[0],3,8,39,1,1,1,8,0,76,0
mem_reg[3],3,8,43,1,1,1,8,0,76,0
rd_next_reg,3,9,70,1,1,1,2,0,76,1
wr_next_reg,3,9,73,1,1,1,2,0,76,1
rd_reg_reg,3,1,3,1,1,0,2,0,76,0
wr_reg_reg,3,1,3,1,1,0,2,0,76,0
rst_i,1,0,1,105,109,0,1,0,278,1
ftdi_rxf_i,1,0,1,0,2,0,1,0,278,0
ftdi_txe_i,1,0,1,0,2,0,1,0,278,0
mem_ack_i,1,0,1,80,880,0,1,0,278,1
mem_stall_i,1,0,1,1,6,0,1,0,278,1
ftdi_siwua_o,2,0,1,1,1,0,1,0,278,0
ftdi_wr_o,2,1,5,1,1,0,1,0,278,0
ftdi_rd_o,2,1,5,1,1,0,1,0,278,0
mem_we_o,2,1,3,1,1,0,1,0,278,0
mem_stb_o,2,1,5,1,1,0,1,0,278,0
mem_cyc_o,2,2,12,1,1,0,1,0,278,0
/designs/ftdi_if/instances_hier/u_sync/instances_seq/ftdi_rd_o_reg,3,6,60,1,1,1,1,1,278,0
/designs/ftdi_if/instances_hier/u_sync/instances_seq/ftdi_wr_o_reg,3,4,43,1,1,1,1,1,278,0
/designs/ftdi_if/instances_hier/u_sync/instances_seq/tx_ready_q_reg,3,4,40,1,1,1,1,1,278,1
/designs/ftdi_if/instances_hier/u_sync/instances_seq/rd_ready_o_reg,3,4,40,1,1,1,1,1,278,1
/designs/ftdi_if/instances_hier/u_sync/instances_seq/ftdi_txe_q_reg,3,1,5,1,1,0,1,1,278,0
/designs/ftdi_if/instances_hier/u_sync/instances_seq/ftdi_rxf_q_reg,3,1,5,1,1,0,1,1,278,0
/designs/ftdi_if/instances_hier/u_sync/instances_seq/ftdi_txe_ms_q_reg,3,0,1,1,1,0,1,1,278,0
/designs/ftdi_if/instances_hier/u_sync/instances_seq/ftdi_rxf_ms_q_reg,3,0,1,1,1,0,1,1,278,0
mem_cyc_q_reg,3,3,18,1,1,1,1,0,278,1
mem_stb_o_reg,3,22,183,1,1,1,1,0,278,1
mem_we_o_reg,3,10,82,1,1,1,1,0,278,1
gp_i,1,0,1,1,2,0,8,0,278,0
mem_data_i,1,0,1,1,9,0,32,0,278,0
ftdi_d_io,1,1,3,1,3,0,16,0,278,0
gp_o,2,1,5,1,1,0,8,0,278,0
mem_addr_o,2,0,4,1,1,0,32,0,278,0
mem_data_o,2,1,5,1,1,0,32,0,278,0
mem_sel_o,2,1,5,1,1,0,4,0,278,0
